City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,boyolangu,-8.1181,111.8935,24.87,94,100,1.33,ID,1683824773
302,karwar,14.8,74.1333,28.17,85,97,1.82,IN,1683824774
303,wynyard,-41.0,145.7167,9.99,82,91,0.58,AU,1683824774
304,santa fe do sul,-20.2111,-50.9258,27.15,59,79,2.28,BR,1683824710
305,colonia,50.9333,6.95,16.83,79,20,3.6,DE,1683824713
306,chiredzi,-21.05,31.6667,22.09,45,0,2.99,ZW,1683824775
307,tuy hoa,13.0833,109.3,26.11,90,100,1.64,VN,1683824775
308,montepuez,-13.1256,38.9997,22.91,61,99,1.84,MZ,1683824776
309,suntar,62.1444,117.6319,-1.51,73,10,0.64,RU,1683824776
310,hobyo,5.3505,48.5268,27.7,82,96,10.2,SO,1683824776
311,prince rupert,54.3161,-130.3201,12.05,65,100,2.06,CA,1683824777
312,nicoya,10.1483,-85.452,35.49,40,35,1.5,CR,1683824777
313,qusmuryn,52.4503,64.6311,11.75,58,79,4.1,KZ,1683824777
314,pathardi,19.1667,75.1833,34.58,14,11,2.86,IN,1683824777
315,ambodifotatra,-16.9833,49.85,26.69,73,3,4.47,MG,1683824778
316,dolbeau-mistassini,48.8763,-72.212,19.36,36,0,3.23,CA,1683824531
317,wamba,8.9333,8.6,29.8,55,55,1.98,NG,1683824778
318,dalnerechensk,45.9339,133.7225,7.27,83,23,2.11,RU,1683824779
319,la ronge,55.1001,-105.2842,20.14,32,0,1.54,CA,1683824779
320,ancud,-41.8697,-73.8203,13.7,91,100,4.14,CL,1683824779
321,lipayran,11.0593,123.6342,28.38,81,96,5.33,PH,1683824779
322,macau,22.2006,113.5461,24.89,78,40,2.57,MO,1683824780
323,la'ie,21.6477,-157.9253,22.28,88,58,1.79,US,1683824780
324,bandon,51.7469,-8.7425,14.77,83,42,8.05,IE,1683824780
325,la mira,18.035,-102.3266,30.88,57,71,3.42,MX,1683824781
326,golere,16.2557,-14.1017,42.63,8,89,3.22,SN,1683824781
327,nova venecia,-18.7106,-40.4006,29.67,53,65,0.5,BR,1683824565
328,bolnisi,41.4479,44.5384,15.77,92,99,0.81,GE,1683824782
329,nadym,65.5333,72.5167,-8.56,91,74,2.97,RU,1683824782
330,aleg,17.0481,-13.9209,42.6,8,34,4.77,MR,1683824783
331,mejit,10.2753,170.8646,27.58,80,100,7.86,MH,1683824783
332,polyarnyy,69.1989,33.4478,3.91,100,100,2.22,RU,1683824783
333,haiku-pauwela,20.9219,-156.3051,23.91,85,0,2.57,US,1683824783
334,fortuna,40.5982,-124.1573,14.64,83,100,0.45,US,1683824784
335,mokhsogollokh,61.4681,128.9203,-2.44,73,100,2.06,RU,1683824784
336,gizo,-8.103,156.8419,27.92,78,98,2.84,SB,1683824784
337,conception bay south,47.4999,-52.9981,12.25,46,10,5.47,CA,1683824785
338,pitimbu,-7.4706,-34.8086,30.33,65,58,3.32,BR,1683824785
339,marka,1.7159,44.7717,26.91,86,68,7.6,SO,1683824785
340,buka,40.8108,69.1986,25.12,29,100,2.96,UZ,1683824786
341,champerico,14.3,-91.9167,32.3,62,4,2.76,GT,1683824786
342,belgrade,44.804,20.4651,13.46,71,40,8.75,RS,1683824489
343,ribas do rio pardo,-20.4431,-53.7592,25.4,56,72,2.78,BR,1683824789
344,kulhudhuffushi,6.6221,73.07,29.1,74,95,3.71,MV,1683824790
345,neryungri,56.6709,124.6491,-0.74,94,100,4.24,RU,1683824790
346,altayskoye,51.9533,85.3325,16.22,60,85,4.83,RU,1683824791
347,carutapera,-1.195,-46.02,29.26,70,77,2.95,BR,1683824792
348,katsuura,35.1333,140.3,14.85,66,100,2.0,JP,1683824792
349,saubara,-12.7375,-38.7686,27.63,73,65,3.54,BR,1683824793
350,kupang,-10.1667,123.5833,25.02,80,86,6.09,ID,1683824793
351,karatau,43.1667,70.4667,21.86,32,99,2.36,KZ,1683824793
352,shira,54.4911,89.9531,6.59,79,100,0.57,RU,1683824793
353,novaya igirma,57.1334,103.9112,2.23,57,83,1.87,RU,1683824794
354,garissa,-0.4536,39.6401,28.91,54,97,8.04,KE,1683824794
355,lodja,-3.4833,23.4333,24.76,71,96,0.99,CD,1683824794
356,pacific grove,36.6177,-121.9166,16.12,73,75,2.68,US,1683824670
357,ngaoundere,7.3167,13.5833,20.96,80,88,1.32,CM,1683824795
358,pokaran,26.9167,71.9167,36.64,11,1,3.75,IN,1683824795
359,kambove,-10.8764,26.5969,16.19,65,0,0.65,CD,1683824796
360,maintirano,-18.0667,44.0167,26.03,77,85,3.28,MG,1683824575
